iter	Passed	Remaining
0	17	17093
1	29	14946
2	40	13376
3	49	12376
4	59	11827
5	68	11426
6	78	11142
7	88	10946
8	97	10773
9	107	10646
10	117	10579
11	127	10504
12	137	10429
13	146	10349
14	156	10269
15	166	10233
16	176	10188
17	185	10141
18	195	10083
19	204	10037
20	214	10005
21	224	9972
22	233	9930
23	243	9904
24	252	9865
25	262	9840
26	272	9821
27	282	9795
28	291	9769
29	301	9749
30	311	9736
31	321	9719
32	331	9707
33	340	9684
34	350	9662
35	360	9646
36	369	9623
37	379	9595
38	388	9579
39	398	9559
40	408	9546
41	418	9539
42	427	9522
43	437	9500
44	447	9490
45	456	9466
46	465	9442
47	475	9434
48	485	9427
49	495	9417
50	505	9405
51	515	9390
52	524	9376
53	534	9365
54	544	9359
55	554	9346
56	563	9328
57	573	9316
58	583	9305
59	593	9292
60	602	9279
61	612	9269
62	622	9259
63	632	9251
64	642	9246
65	651	9226
66	661	9213
67	671	9205
68	681	9190
69	690	9179
70	700	9163
71	709	9151
72	719	9139
73	729	9132
74	739	9122
75	749	9110
76	759	9098
77	768	9083
78	778	9073
79	788	9063
80	797	9048
81	807	9034
82	816	9026
83	826	9016
84	836	9005
85	846	8992
86	855	8978
87	865	8968
88	875	8958
89	884	8948
90	894	8935
91	904	8925
92	914	8915
93	924	8906
94	934	8899
95	944	8889
96	953	8875
97	962	8863
98	972	8851
99	982	8840
100	992	8830
101	1001	8819
102	1011	8812
103	1021	8802
104	1031	8794
105	1041	8783
106	1051	8779
107	1062	8774
108	1072	8767
109	1082	8755
110	1092	8745
111	1101	8736
112	1111	8724
113	1120	8711
114	1130	8700
115	1140	8690
116	1150	8681
117	1160	8672
118	1169	8661
119	1179	8652
120	1189	8640
121	1199	8631
122	1209	8620
123	1218	8608
124	1228	8598
125	1238	8590
126	1248	8579
127	1258	8570
128	1268	8561
129	1278	8553
130	1288	8547
131	1298	8540
132	1308	8529
133	1317	8517
134	1327	8506
135	1337	8497
136	1347	8488
137	1357	8478
138	1367	8468
139	1376	8458
140	1386	8448
141	1396	8438
142	1406	8426
143	1415	8414
144	1425	8402
145	1434	8392
146	1444	8380
147	1454	8370
148	1463	8359
149	1473	8348
150	1482	8337
151	1492	8327
152	1502	8318
153	1512	8307
154	1522	8297
155	1532	8289
156	1541	8278
157	1551	8267
158	1561	8260
159	1571	8249
160	1581	8240
161	1590	8229
162	1601	8221
163	1610	8212
164	1620	8200
165	1630	8192
166	1640	8182
167	1650	8175
168	1660	8165
169	1670	8157
170	1680	8147
171	1690	8136
172	1699	8126
173	1709	8115
174	1719	8107
175	1729	8098
176	1739	8088
177	1748	8076
178	1758	8065
179	1767	8054
180	1777	8044
181	1787	8034
182	1797	8025
183	1807	8017
184	1817	8006
185	1827	7998
186	1837	7990
187	1848	7982
188	1858	7973
189	1868	7963
190	1877	7954
191	1887	7944
192	1898	7936
193	1908	7928
194	1918	7919
195	1928	7910
196	1938	7902
197	1948	7894
198	1958	7883
199	1968	7874
200	1978	7864
201	1988	7853
202	1998	7844
203	2008	7836
204	2018	7826
205	2027	7815
206	2037	7806
207	2047	7796
208	2057	7787
209	2068	7780
210	2078	7771
211	2088	7762
212	2098	7753
213	2108	7742
214	2118	7733
215	2128	7724
216	2137	7713
217	2147	7704
218	2157	7694
219	2167	7685
220	2177	7675
221	2187	7665
222	2197	7655
223	2206	7644
224	2216	7635
225	2226	7625
226	2236	7615
227	2246	7605
228	2255	7594
229	2265	7583
230	2274	7572
231	2284	7562
232	2293	7550
233	2303	7540
234	2313	7531
235	2322	7519
236	2332	7510
237	2342	7501
238	2353	7493
239	2363	7483
240	2373	7474
241	2383	7465
242	2392	7454
243	2402	7443
244	2412	7434
245	2422	7425
246	2431	7413
247	2441	7403
248	2451	7393
249	2461	7384
250	2471	7375
251	2481	7365
252	2491	7355
253	2500	7345
254	2510	7333
255	2520	7324
256	2530	7315
257	2540	7306
258	2550	7296
259	2560	7288
260	2571	7279
261	2581	7270
262	2591	7261
263	2601	7251
264	2610	7240
265	2620	7230
266	2630	7220
267	2640	7210
268	2649	7201
269	2659	7191
270	2669	7180
271	2679	7171
272	2689	7161
273	2698	7151
274	2708	7140
275	2718	7130
276	2727	7120
277	2737	7110
278	2748	7101
279	2758	7092
280	2768	7082
281	2778	7074
282	2788	7064
283	2798	7054
284	2807	7044
285	2817	7034
286	2827	7024
287	2837	7014
288	2846	7004
289	2856	6993
290	2866	6983
291	2876	6973
292	2885	6963
293	2895	6953
294	2905	6942
295	2914	6932
296	2924	6922
297	2934	6912
298	2944	6902
299	2953	6891
300	2963	6881
301	2972	6870
302	2982	6860
303	2992	6851
304	3003	6844
305	3015	6838
306	3026	6832
307	3037	6825
308	3049	6819
309	3061	6815
310	3074	6811
311	3086	6805
312	3097	6798
313	3109	6792
314	3121	6787
315	3132	6780
316	3144	6775
317	3156	6768
318	3167	6762
319	3178	6755
320	3190	6748
321	3202	6742
322	3214	6736
323	3225	6730
324	3235	6719
325	3244	6708
326	3254	6697
327	3263	6686
328	3273	6676
329	3282	6664
330	3292	6654
331	3301	6643
332	3311	6632
333	3321	6622
334	3330	6612
335	3340	6601
336	3350	6591
337	3360	6581
338	3370	6571
339	3379	6560
340	3389	6550
341	3399	6540
342	3408	6529
343	3418	6519
344	3428	6508
345	3437	6497
346	3447	6487
347	3457	6477
348	3466	6466
349	3477	6457
350	3487	6447
351	3497	6437
352	3506	6427
353	3516	6416
354	3526	6406
355	3536	6396
356	3545	6386
357	3555	6375
358	3565	6365
359	3575	6355
360	3585	6346
361	3596	6337
362	3606	6327
363	3616	6318
364	3626	6309
365	3636	6299
366	3646	6289
367	3657	6280
368	3666	6270
369	3676	6260
370	3686	6250
371	3696	6240
372	3706	6230
373	3716	6220
374	3726	6210
375	3736	6200
376	3745	6189
377	3755	6179
378	3765	6170
379	3776	6160
380	3785	6150
381	3795	6140
382	3805	6130
383	3815	6120
384	3825	6110
385	3834	6099
386	3844	6090
387	3854	6079
388	3864	6069
389	3874	6059
390	3884	6049
391	3894	6040
392	3904	6030
393	3914	6020
394	3924	6010
395	3934	6000
396	3943	5990
397	3953	5980
398	3963	5970
399	3972	5959
400	3982	5949
401	3992	5939
402	4002	5929
403	4012	5920
404	4022	5909
405	4031	5898
406	4041	5888
407	4051	5878
408	4061	5868
409	4071	5858
410	4081	5849
411	4091	5838
412	4100	5828
413	4110	5818
414	4119	5807
415	4130	5798
416	4140	5788
417	4149	5777
418	4159	5767
419	4168	5756
420	4178	5746
421	4188	5737
422	4199	5727
423	4208	5717
424	4218	5707
425	4228	5697
426	4238	5687
427	4247	5677
428	4257	5666
429	4267	5656
430	4276	5645
431	4286	5635
432	4296	5625
433	4305	5615
434	4315	5605
435	4325	5595
436	4335	5585
437	4345	5575
438	4354	5565
439	4364	5554
440	4374	5545
441	4384	5535
442	4394	5525
443	4404	5515
444	4414	5505
445	4424	5495
446	4433	5485
447	4444	5475
448	4453	5465
449	4463	5455
450	4473	5445
451	4483	5435
452	4493	5425
453	4502	5415
454	4512	5404
455	4521	5394
456	4531	5384
457	4540	5373
458	4550	5363
459	4560	5353
460	4567	5340
461	4577	5330
462	4586	5319
463	4596	5309
464	4606	5299
465	4615	5289
466	4625	5279
467	4635	5269
468	4645	5259
469	4654	5248
470	4664	5238
471	4674	5228
472	4684	5218
473	4693	5208
474	4703	5198
475	4713	5188
476	4723	5179
477	4733	5169
478	4743	5159
479	4753	5149
480	4762	5138
481	4772	5128
482	4781	5118
483	4791	5107
484	4800	5097
485	4810	5087
486	4820	5077
487	4830	5067
488	4839	5057
489	4849	5047
490	4859	5037
491	4869	5027
492	4879	5017
493	4888	5007
494	4898	4997
495	4908	4987
496	4917	4977
497	4927	4967
498	4937	4957
499	4947	4947
500	4957	4937
501	4966	4927
502	4974	4915
503	4984	4905
504	4994	4896
505	5004	4885
506	5014	4876
507	5023	4865
508	5033	4855
509	5043	4845
510	5053	4835
511	5063	4826
512	5073	4816
513	5083	4806
514	5090	4794
515	5100	4784
516	5109	4773
517	5119	4763
518	5129	4753
519	5138	4743
520	5148	4733
521	5157	4723
522	5167	4713
523	5177	4702
524	5186	4692
525	5196	4682
526	5205	4672
527	5215	4662
528	5224	4652
529	5234	4641
530	5244	4631
531	5253	4621
532	5263	4611
533	5273	4601
534	5282	4591
535	5291	4581
536	5301	4570
537	5311	4561
538	5320	4550
539	5330	4540
540	5340	4530
541	5349	4520
542	5359	4510
543	5368	4500
544	5377	4489
545	5387	4479
546	5396	4469
547	5405	4458
548	5414	4448
549	5424	4438
550	5433	4427
551	5443	4418
552	5453	4407
553	5462	4397
554	5472	4388
555	5482	4377
556	5491	4367
557	5501	4358
558	5511	4347
559	5520	4337
560	5530	4327
561	5540	4317
562	5549	4307
563	5559	4297
564	5568	4287
565	5578	4277
566	5587	4267
567	5597	4256
568	5606	4246
569	5616	4236
570	5625	4226
571	5635	4216
572	5645	4206
573	5655	4196
574	5664	4186
575	5673	4176
576	5683	4166
577	5692	4156
578	5702	4146
579	5712	4136
580	5721	4126
581	5730	4116
582	5740	4105
583	5749	4095
584	5758	4085
585	5768	4075
586	5777	4065
587	5787	4055
588	5797	4045
589	5806	4035
590	5816	4025
591	5826	4015
592	5835	4005
593	5845	3995
594	5855	3985
595	5865	3975
596	5874	3965
597	5884	3956
598	5894	3945
599	5903	3935
600	5913	3925
601	5922	3915
602	5932	3905
603	5942	3895
604	5952	3886
605	5962	3876
606	5971	3866
607	5980	3856
608	5990	3846
609	6000	3836
610	6009	3826
611	6019	3816
612	6028	3806
613	6038	3796
614	6047	3785
615	6056	3775
616	6066	3765
617	6075	3755
618	6085	3745
619	6095	3736
620	6105	3725
621	6114	3716
622	6124	3706
623	6134	3696
624	6143	3686
625	6152	3676
626	6162	3665
627	6172	3656
628	6182	3646
629	6192	3637
630	6202	3627
631	6212	3617
632	6222	3607
633	6231	3597
634	6241	3587
635	6251	3578
636	6261	3568
637	6271	3558
638	6281	3548
639	6290	3538
640	6300	3528
641	6310	3519
642	6320	3509
643	6330	3499
644	6340	3489
645	6350	3479
646	6359	3469
647	6369	3460
648	6379	3450
649	6389	3440
650	6398	3430
651	6409	3420
652	6419	3411
653	6429	3401
654	6439	3391
655	6449	3382
656	6459	3372
657	6468	3362
658	6478	3352
659	6487	3342
660	6497	3332
661	6507	3322
662	6517	3312
663	6526	3302
664	6536	3292
665	6546	3283
666	6556	3273
667	6565	3263
668	6575	3253
669	6585	3243
670	6594	3233
671	6604	3223
672	6613	3213
673	6623	3203
674	6633	3194
675	6643	3184
676	6653	3174
677	6662	3164
678	6672	3154
679	6682	3144
680	6692	3135
681	6702	3125
682	6712	3115
683	6722	3105
684	6731	3095
685	6742	3086
686	6751	3076
687	6761	3066
688	6771	3056
689	6781	3046
690	6792	3037
691	6801	3027
692	6810	3017
693	6820	3007
694	6830	2997
695	6840	2987
696	6849	2977
697	6860	2968
698	6870	2958
699	6879	2948
700	6889	2938
701	6898	2928
702	6908	2918
703	6918	2909
704	6928	2899
705	6937	2888
706	6946	2878
707	6956	2868
708	6966	2859
709	6976	2849
710	6985	2839
711	6995	2829
712	7005	2819
713	7015	2809
714	7024	2800
715	7034	2790
716	7044	2780
717	7054	2770
718	7064	2760
719	7074	2751
720	7084	2741
721	7094	2731
722	7104	2721
723	7113	2711
724	7123	2702
725	7133	2692
726	7143	2682
727	7153	2672
728	7162	2662
729	7172	2652
730	7181	2642
731	7191	2632
732	7201	2623
733	7211	2613
734	7220	2603
735	7230	2593
736	7239	2583
737	7249	2573
738	7259	2563
739	7268	2553
740	7278	2544
741	7288	2534
742	7298	2524
743	7307	2514
744	7317	2504
745	7327	2494
746	7337	2485
747	7346	2475
748	7356	2465
749	7365	2455
750	7375	2445
751	7385	2435
752	7394	2425
753	7404	2415
754	7413	2405
755	7423	2396
756	7433	2386
757	7443	2376
758	7453	2366
759	7463	2356
760	7473	2347
761	7482	2337
762	7492	2327
763	7502	2317
764	7511	2307
765	7522	2297
766	7532	2288
767	7541	2278
768	7551	2268
769	7561	2258
770	7571	2248
771	7580	2238
772	7591	2229
773	7601	2219
774	7611	2209
775	7621	2199
776	7631	2190
777	7640	2180
778	7650	2170
779	7659	2160
780	7669	2150
781	7678	2140
782	7688	2130
783	7698	2120
784	7708	2111
785	7717	2101
786	7727	2091
787	7736	2081
788	7746	2071
789	7755	2061
790	7765	2051
791	7775	2041
792	7785	2032
793	7794	2022
794	7804	2012
795	7813	2002
796	7823	1992
797	7833	1982
798	7843	1973
799	7854	1963
800	7863	1953
801	7873	1943
802	7882	1933
803	7892	1924
804	7902	1914
805	7912	1904
806	7923	1894
807	7932	1885
808	7942	1875
809	7952	1865
810	7961	1855
811	7971	1845
812	7981	1835
813	7990	1825
814	8000	1816
815	8010	1806
816	8019	1796
817	8029	1786
818	8038	1776
819	8048	1766
820	8058	1756
821	8068	1747
822	8077	1737
823	8087	1727
824	8097	1717
825	8107	1707
826	8116	1697
827	8126	1688
828	8136	1678
829	8146	1668
830	8155	1658
831	8165	1648
832	8174	1638
833	8184	1629
834	8194	1619
835	8203	1609
836	8213	1599
837	8223	1589
838	8234	1580
839	8244	1570
840	8253	1560
841	8263	1550
842	8274	1540
843	8283	1531
844	8293	1521
845	8303	1511
846	8313	1501
847	8323	1491
848	8333	1482
849	8342	1472
850	8351	1462
851	8361	1452
852	8371	1442
853	8380	1432
854	8390	1422
855	8400	1413
856	8409	1403
857	8419	1393
858	8429	1383
859	8438	1373
860	8448	1363
861	8458	1354
862	8467	1344
863	8477	1334
864	8487	1324
865	8496	1314
866	8506	1304
867	8516	1295
868	8525	1285
869	8535	1275
870	8544	1265
871	8554	1255
872	8564	1245
873	8573	1236
874	8583	1226
875	8592	1216
876	8602	1206
877	8612	1196
878	8622	1186
879	8632	1177
880	8641	1167
881	8651	1157
882	8660	1147
883	8669	1137
884	8679	1127
885	8688	1117
886	8698	1108
887	8707	1098
888	8717	1088
889	8727	1078
890	8737	1068
891	8746	1059
892	8756	1049
893	8766	1039
894	8776	1029
895	8785	1019
896	8795	1009
897	8804	1000
898	8815	990
899	8824	980
900	8834	970
901	8844	960
902	8854	951
903	8864	941
904	8873	931
905	8883	921
906	8893	911
907	8903	902
908	8913	892
909	8922	882
910	8932	872
911	8941	862
912	8952	853
913	8962	843
914	8971	833
915	8981	823
916	8991	813
917	9000	803
918	9010	794
919	9020	784
920	9030	774
921	9040	764
922	9050	755
923	9060	745
924	9069	735
925	9079	725
926	9089	715
927	9099	705
928	9109	696
929	9119	686
930	9129	676
931	9139	666
932	9148	656
933	9158	647
934	9168	637
935	9178	627
936	9188	617
937	9197	607
938	9207	598
939	9217	588
940	9226	578
941	9236	568
942	9245	558
943	9255	549
944	9265	539
945	9275	529
946	9285	519
947	9295	509
948	9305	500
949	9315	490
950	9324	480
951	9334	470
952	9343	460
953	9353	451
954	9363	441
955	9372	431
956	9382	421
957	9392	411
958	9402	401
959	9411	392
960	9421	382
961	9430	372
962	9440	362
963	9450	352
964	9459	343
965	9469	333
966	9478	323
967	9488	313
968	9498	303
969	9508	294
970	9517	284
971	9527	274
972	9536	264
973	9546	254
974	9555	245
975	9565	235
976	9574	225
977	9584	215
978	9594	205
979	9604	196
980	9614	186
981	9624	176
982	9634	166
983	9643	156
984	9653	147
985	9663	137
986	9672	127
987	9682	117
988	9692	107
989	9701	97
990	9711	88
991	9720	78
992	9730	68
993	9739	58
994	9749	48
995	9759	39
996	9769	29
997	9779	19
998	9788	9
999	9798	0
