iter	Passed	Remaining
0	3	3131
1	5	2677
2	7	2561
3	9	2458
4	12	2431
5	14	2399
6	16	2352
7	18	2341
8	21	2316
9	23	2302
10	25	2265
11	27	2253
12	28	2193
13	31	2184
14	33	2180
15	35	2178
16	37	2176
17	39	2148
18	41	2144
19	43	2145
20	46	2153
21	48	2154
22	50	2148
23	52	2153
24	55	2145
25	57	2144
26	59	2141
27	61	2129
28	63	2129
29	65	2130
30	68	2155
31	71	2163
32	74	2177
33	76	2185
34	78	2174
35	81	2176
36	83	2174
37	85	2176
38	88	2168
39	90	2162
40	92	2158
41	94	2153
42	96	2149
43	98	2145
44	100	2143
45	103	2139
46	105	2134
47	107	2128
48	109	2122
49	111	2116
50	113	2112
51	115	2108
52	117	2104
53	119	2100
54	121	2095
55	124	2090
56	125	2084
57	128	2081
58	130	2077
59	132	2074
60	134	2070
61	136	2066
62	138	2062
63	140	2058
64	142	2054
65	145	2053
66	147	2049
67	149	2047
68	151	2044
69	153	2040
70	155	2039
71	158	2036
72	160	2035
73	162	2031
74	164	2030
75	167	2030
76	169	2027
77	171	2024
78	173	2021
79	175	2018
80	177	2015
81	179	2013
82	182	2013
83	184	2012
84	186	2009
85	188	2007
86	191	2011
87	198	2053
88	202	2068
89	205	2074
90	209	2094
91	214	2115
92	221	2163
93	224	2161
94	226	2157
95	228	2153
96	230	2150
97	233	2145
98	235	2140
99	237	2135
100	239	2130
101	241	2126
102	243	2121
103	245	2115
104	247	2112
105	250	2111
106	252	2110
107	255	2107
108	257	2105
109	259	2103
110	262	2100
111	264	2097
112	266	2095
113	269	2092
114	271	2089
115	273	2084
116	275	2080
117	277	2075
118	279	2071
119	282	2068
120	284	2067
121	286	2064
122	289	2063
123	291	2061
124	294	2060
125	296	2057
126	298	2054
127	301	2053
128	303	2051
129	306	2048
130	308	2047
131	310	2043
132	313	2040
133	315	2038
134	317	2035
135	319	2032
136	321	2027
137	323	2023
138	325	2017
139	327	2013
140	329	2010
141	332	2006
142	334	2002
143	336	1999
144	338	1995
145	340	1990
146	342	1987
147	344	1983
148	346	1980
149	348	1976
150	350	1972
151	352	1968
152	354	1964
153	356	1960
154	359	1957
155	360	1951
156	362	1948
157	365	1945
158	367	1941
159	369	1937
160	371	1934
161	373	1930
162	375	1926
163	377	1925
164	379	1921
165	381	1919
166	384	1915
167	386	1912
168	388	1909
169	390	1905
170	392	1902
171	394	1900
172	396	1896
173	398	1893
174	401	1890
175	403	1887
176	405	1884
177	407	1881
178	409	1878
179	411	1875
180	413	1872
181	415	1869
182	418	1867
183	420	1864
184	422	1861
185	424	1858
186	426	1856
187	428	1852
188	431	1850
189	433	1848
190	435	1844
191	437	1841
192	439	1838
193	441	1835
194	443	1832
195	445	1829
196	448	1826
197	450	1823
198	452	1820
199	454	1817
200	456	1814
201	458	1812
202	460	1808
203	463	1806
204	465	1804
205	467	1801
206	469	1799
207	471	1796
208	473	1793
209	475	1790
210	478	1787
211	480	1784
212	482	1781
213	484	1778
214	486	1775
215	488	1772
216	490	1769
217	492	1766
218	494	1764
219	496	1761
220	499	1758
221	501	1755
222	503	1752
223	505	1749
224	507	1746
225	509	1744
226	511	1741
227	513	1739
228	515	1736
229	517	1733
230	519	1730
231	521	1727
232	524	1725
233	526	1722
234	528	1719
235	530	1717
236	532	1714
237	534	1712
238	537	1710
239	539	1707
240	541	1704
241	543	1702
242	545	1699
243	547	1696
244	549	1694
245	552	1692
246	554	1689
247	556	1686
248	558	1684
249	560	1681
250	562	1678
251	564	1676
252	566	1673
253	568	1670
254	570	1668
255	573	1665
256	575	1662
257	577	1660
258	579	1657
259	581	1655
260	583	1652
261	585	1649
262	587	1647
263	589	1644
264	592	1642
265	594	1639
266	596	1637
267	598	1635
268	600	1632
269	602	1629
270	604	1627
271	606	1624
272	609	1622
273	611	1619
274	612	1615
275	615	1613
276	617	1611
277	619	1608
278	621	1606
279	623	1603
280	625	1601
281	627	1598
282	630	1596
283	632	1593
284	634	1590
285	636	1588
286	638	1585
287	640	1582
288	642	1580
289	644	1577
290	646	1575
291	648	1572
292	650	1570
293	652	1567
294	655	1566
295	657	1563
296	659	1561
297	661	1558
298	663	1556
299	666	1554
300	668	1551
301	670	1548
302	672	1546
303	674	1543
304	676	1541
305	678	1538
306	680	1536
307	682	1534
308	685	1531
309	687	1529
310	689	1527
311	691	1524
312	693	1521
313	695	1519
314	697	1517
315	699	1514
316	701	1511
317	703	1509
318	705	1506
319	708	1504
320	710	1501
321	712	1499
322	714	1497
323	716	1494
324	718	1492
325	720	1489
326	722	1487
327	724	1484
328	726	1482
329	729	1480
330	731	1477
331	733	1475
332	735	1472
333	737	1470
334	739	1468
335	741	1465
336	743	1463
337	745	1460
338	747	1458
339	749	1455
340	751	1453
341	754	1450
342	756	1448
343	758	1446
344	760	1443
345	762	1441
346	764	1438
347	766	1436
348	768	1434
349	770	1431
350	772	1429
351	775	1426
352	776	1424
353	779	1421
354	781	1419
355	783	1417
356	785	1414
357	787	1412
358	789	1409
359	791	1407
360	793	1405
361	795	1402
362	797	1400
363	800	1398
364	802	1395
365	804	1393
366	806	1390
367	808	1388
368	810	1386
369	812	1383
370	814	1381
371	816	1379
372	818	1376
373	820	1374
374	822	1371
375	824	1369
376	827	1366
377	829	1364
378	831	1362
379	833	1360
380	835	1357
381	837	1355
382	840	1353
383	842	1351
384	844	1349
385	846	1346
386	848	1344
387	850	1342
388	852	1339
389	854	1337
390	857	1335
391	859	1333
392	861	1330
393	863	1328
394	866	1326
395	868	1324
396	870	1321
397	872	1319
398	874	1317
399	880	1320
400	884	1320
401	887	1320
402	890	1318
403	894	1319
404	900	1322
405	902	1319
406	904	1318
407	907	1316
408	909	1314
409	912	1312
410	914	1310
411	916	1308
412	919	1306
413	921	1303
414	923	1301
415	925	1299
416	927	1296
417	929	1294
418	931	1291
419	933	1289
420	935	1286
421	937	1284
422	939	1281
423	941	1279
424	943	1276
425	945	1274
426	947	1271
427	949	1269
428	952	1267
429	954	1265
430	956	1262
431	958	1260
432	960	1258
433	962	1255
434	964	1253
435	966	1250
436	969	1248
437	971	1246
438	973	1244
439	975	1241
440	977	1239
441	979	1236
442	981	1234
443	983	1232
444	986	1229
445	988	1227
446	990	1225
447	992	1222
448	994	1220
449	996	1217
450	998	1215
451	1000	1213
452	1002	1210
453	1004	1208
454	1007	1206
455	1009	1203
456	1011	1201
457	1013	1199
458	1015	1197
459	1017	1194
460	1020	1192
461	1022	1190
462	1024	1188
463	1026	1185
464	1028	1183
465	1030	1181
466	1032	1178
467	1035	1176
468	1037	1174
469	1039	1171
470	1041	1169
471	1043	1167
472	1045	1164
473	1047	1162
474	1049	1159
475	1051	1157
476	1053	1154
477	1055	1152
478	1057	1149
479	1059	1147
480	1061	1145
481	1063	1142
482	1065	1140
483	1066	1137
484	1068	1135
485	1071	1132
486	1073	1130
487	1075	1128
488	1077	1126
489	1079	1123
490	1081	1121
491	1083	1119
492	1086	1116
493	1088	1114
494	1090	1112
495	1092	1109
496	1094	1107
497	1096	1104
498	1098	1102
499	1100	1100
500	1102	1098
501	1104	1096
502	1106	1093
503	1109	1091
504	1111	1089
505	1112	1086
506	1114	1084
507	1117	1081
508	1119	1079
509	1121	1077
510	1123	1075
511	1125	1073
512	1128	1070
513	1130	1068
514	1132	1066
515	1134	1063
516	1136	1061
517	1138	1059
518	1140	1057
519	1142	1055
520	1144	1052
521	1146	1050
522	1149	1047
523	1151	1045
524	1153	1043
525	1155	1041
526	1157	1038
527	1159	1036
528	1161	1034
529	1163	1032
530	1165	1029
531	1168	1027
532	1170	1025
533	1172	1023
534	1174	1021
535	1176	1018
536	1178	1016
537	1180	1014
538	1182	1011
539	1185	1009
540	1187	1007
541	1189	1005
542	1191	1002
543	1193	1000
544	1195	998
545	1197	996
546	1200	993
547	1202	991
548	1204	989
549	1206	987
550	1208	984
551	1210	982
552	1213	980
553	1215	978
554	1217	976
555	1219	974
556	1222	971
557	1224	969
558	1226	967
559	1228	965
560	1230	962
561	1232	960
562	1235	958
563	1237	956
564	1239	954
565	1241	951
566	1243	949
567	1245	947
568	1247	945
569	1250	943
570	1252	940
571	1254	938
572	1256	936
573	1258	934
574	1260	931
575	1262	929
576	1264	927
577	1267	925
578	1269	922
579	1271	920
580	1273	918
581	1275	916
582	1277	913
583	1279	911
584	1281	909
585	1284	907
586	1286	905
587	1288	902
588	1290	900
589	1292	898
590	1294	896
591	1296	893
592	1298	891
593	1301	889
594	1303	887
595	1305	884
596	1307	882
597	1309	880
598	1311	877
599	1313	875
600	1316	873
601	1318	871
602	1320	869
603	1322	866
604	1324	864
605	1326	862
606	1328	860
607	1330	857
608	1332	855
609	1334	853
610	1336	851
611	1339	848
612	1341	846
613	1343	844
614	1345	842
615	1347	840
616	1349	837
617	1352	835
618	1354	833
619	1356	831
620	1358	829
621	1360	826
622	1362	824
623	1364	822
624	1366	820
625	1369	817
626	1371	815
627	1373	813
628	1375	811
629	1376	808
630	1378	806
631	1381	804
632	1383	802
633	1384	799
634	1386	797
635	1388	794
636	1390	792
637	1392	790
638	1395	788
639	1397	786
640	1400	784
641	1402	782
642	1404	779
